"INDICADOR" "NOTA" "DESDE" "HASTA"
"Índice de Gini" "El índice de Gini mide hasta qué punto la distribución del ingreso (o, en algunos casos, el gasto de consumo) entre individuos u hogares dentro de una economía se aleja de una distribución perfectamente equitativa. Una curva de Lorenz muestra los porcentajes acumulados de ingreso recibido total contra la cantidad acumulada de receptores, empezando a partir de la persona o el hogar más pobre. El índice de Gini mide la superficie entre la curva de Lorenz y una línea hipotética de equidad absoluta, expresada como porcentaje de la superficie máxima debajo de la línea. Así, un índice de Gini de 0 representa una equidad perfecta, mientras que un índice de 100 representa una inequidad perfecta." 1990 2017
"Índice de precios al consumidor (2010 = 100)" "El índice de precios al consumidor refleja las variaciones en el costo para el consumidor medio de adquirir una canasta de bienes y servicios que puede ser fija o variable a intervalos determinados, por ejemplo anualmente. Por lo general se utiliza la fórmula de Laspeyres." 1970 2017
"Índice de precios mayoristas (2010 = 100)" "El índice de precios mayoristas se refiere a una combinación de productos agrícolas e industriales en diversas etapas de producción y de distribución, incluidos los impuestos a las importaciones. Por lo general se utiliza la fórmula de Laspeyres." 1986 1991
"Índice de producción animal (2004-2006 = 100)" "El índice de la producción animal incluye carne y leche de todos los orígenes, productos lácteos como el queso, y huevos, miel, seda cruda, lana, cueros y pieles." 1970 2016
"Índice de profundidad de la información crediticia (0=bajo a 8=alto)" "El índice de profundidad de la información crediticia mide las normas que afectan el alcance, la accesibilidad y la calidad de la información crediticia disponible por medio de registros públicos y privados de crédito. El índice abarca el rango del 0 al 8; los valores más altos indican que se dispone de mayor información crediticia, ya sea de un registro público o una agencia de información privada, para facilitar las decisiones relacionadas con el crédito." 2013 2018
"Índice de tasa de cambio real efectiva (2010 = 100)" "El tipo de cambio real efectivo es el tipo de cambio nominal efectivo (una medida del valor de una moneda contra el promedio ponderado de varias monedas extranjeras) dividido por un deflactor de precios o índice de costos." 1980 2017
"Índice de términos netos de intercambio (2000 = 100)" "El índice neto de la relación de intercambio de trueque se calcula como la relación porcentual de los índices de valor de la unidad de exportación con respecto a los índices de valor de la unidad de importación, medidos en relación al año 2000 tomado como base. Los índices de valor unitario se basan en datos entregados por los países que demuestran congruencia según los controles de calidad de UNCTAD, complementados con cálculos de UNCTAD que usan como ponderaciones los valores comerciales del año anterior en el nivel de tres dígitos de la Clasificación Uniforme para el Comercio Internacional. Para mejorar la cobertura de los datos, en especial para los últimos períodos, UNCTAD crea un conjunto de índices de precios promedio en la clasificación de productos de tres dígitos de la revisión 3 de la Clasificación Uniforme para el Comercio Internacional usando la Estadística de precios de productos básicos de UNCTAD, fuentes nacionales e internacionales y cálculos de la Secretaría de la UNCTAD y calcula los índices de valor unitario a nivel del país usando como ponderaciones los valores comerciales del año en curso." 1980 2017
"Índice de valor de exportación (2000 = 100)" "Los valores de las exportaciones son el valor actual de las exportaciones (FOB) convertido a dólares estadounidenses y expresado como porcentaje del promedio para el período base (2000). Los índices del valor de las exportaciones de la UNCTAD se informan para la mayoría de las economías. En el caso de economías seleccionadas para las cuales la UNCTAD no publica datos, los índices del valor de las exportaciones se derivan de los índices del volumen de las exportaciones (línea 72) y los correspondientes índices del valor unitario de las exportaciones (línea 74) en las Estadísticas Financieras Internacionales del FMI." 1980 2017
"Índice del grado de divulgación de información de las empresas (0=menos divulgación a 10=más divulgación)" "El índice de divulgación de información mide el grado en que los inversionistas están protegidos mediante la divulgación de información financiera y de propiedad. El índice abarca un rango de 0 a 10; los valores más altos indican mayor divulgación de información." 2005 2018
"Índice del valor de las importaciones (2000 = 100)" "Los índices del valor de las importaciones son el valor actual de las importaciones (CIF) convertido a dólares estadounidenses y expresado como porcentaje del promedio para el período base (2000). Los índices del valor de las importaciones de la UNCTAD se informan para la mayoría de las economías. En el caso de economías seleccionadas para las cuales la UNCTAD no publica datos, los índices del valor de las importaciones se derivan de los índices del volumen de las importaciones (línea 73) y los correspondientes índices del valor unitario de las importaciones (línea 75) en las Estadísticas Financieras Internacionales del FMI." 1980 2017
"Índice del volumen de exportaciones (2000 = 100)" "Los índices de volumen de importaciones se derivan de las series de índices de volumen de la UNCTAD y corresponden a la relación de los índices de valor de importación con respecto a los correspondientes índices de valor por unidad. Los índices de valor unitario se basan en datos entregados por los países que demuestran congruencia según los controles de calidad de UNCTAD, complementados con cálculos de UNCTAD que usan como ponderaciones los valores comerciales del año anterior en el nivel de tres dígitos de la Clasificación Uniforme para el Comercio Internacional. Para mejorar la cobertura de los datos, en especial para los últimos períodos, UNCTAD crea un conjunto de índices de precios promedio en la clasificación de productos de tres dígitos de la revisión 3 de la Clasificación Uniforme para el Comercio Internacional usando la Estadística de precios de productos básicos de UNCTAD, fuentes nacionales e internacionales y cálculos de la Secretaría de la UNCTAD y calcula los índices de valor unitario a nivel del país usando como ponderaciones los valores comerciales del año en curso. Para economías para las que la UNCTAD no publica datos, se emplean los índices de volumen de importaciones de las Estadísticas financieras internacionales del FMI (líneas 72)." 1980 2017
"Índice del volumen de las importaciones (2000 = 100)" "Los índices de volumen de importaciones se derivan de las series de índices de volumen de la UNCTAD y corresponden a la relación de los índices de valor de importación con respecto a los correspondientes índices de valor por unidad. Los índices de valor unitario se basan en datos entregados por los países que demuestran congruencia según los controles de calidad de UNCTAD, complementados con cálculos de UNCTAD que usan como ponderaciones los valores comerciales del año anterior en el nivel de tres dígitos de la Clasificación Uniforme para el Comercio Internacional. Para mejorar la cobertura de los datos, en especial para los últimos períodos, UNCTAD crea un conjunto de índices de precios promedio en la clasificación de productos de tres dígitos de la revisión 3 de la Clasificación Uniforme para el Comercio Internacional usando la Estadística de precios de productos básicos de UNCTAD, fuentes nacionales e internacionales y cálculos de la Secretaría de la UNCTAD y calcula los índices de valor unitario a nivel del país usando como ponderaciones los valores comerciales del año en curso. Para economías para las que la UNCTAD no publica datos, se emplean los índices de volumen de importaciones de las Estadísticas financieras internacionales del FMI (líneas 73)." 1980 2017
"Industria, valor agregado (% de crecimiento anual)" "Tasa de crecimiento anual del valor agregado industrial en moneda local, a precios constantes. Los agregados están expresados en dólares de los Estados Unidos a precios constantes del año 2010. El término “industria” corresponde a las divisiones 10 a 45 de la CIIU e incluye a las industrias manufactureras (divisiones 15 a 37 de la CIIU). Comprende el valor agregado en explotación de minas y canteras, industrias manufactureras (que también se informa como un subgrupo distinto), construcción, y suministro de electricidad, gas y agua. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3." 1970 2017
"Industria, valor agregado (% del PIB)" "El término “industria” corresponde a las divisiones 10 a 45 de la CIIU e incluye a las industrias manufactureras (divisiones 15 a 37 de la CIIU). Comprende el valor agregado en explotación de minas y canteras, industrias manufactureras (que también se informa como un subgrupo distinto), construcción, y suministro de electricidad, gas y agua. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Nota: Para los países que contabilizan en base valor agregado, se utiliza como denominador el valor agregado bruto al costo de los factores." 1970 2017
"Industria, valor agregado (UMN a precios actuales)" "El término “industria” corresponde a las divisiones 10 a 45 de la CIIU e incluye a las industrias manufactureras (divisiones 15 a 37 de la CIIU). Comprende el valor agregado en explotación de minas y canteras, industrias manufactureras (que también se informa como un subgrupo distinto), construcción, y suministro de electricidad, gas y agua. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Industria, valor agregado (UMN a precios constantes)" "El término “industria” corresponde a las divisiones 10 a 45 de la CIIU e incluye a las industrias manufactureras (divisiones 15 a 37 de la CIIU). Comprende el valor agregado en explotación de minas y canteras, industrias manufactureras (que también se informa como un subgrupo distinto), construcción, y suministro de electricidad, gas y agua. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos están expresados en moneda local, a precios constantes." 1970 2017
"Industria, valor agregado (US$ a precios actuales)" "El término “industria” corresponde a las divisiones 10 a 45 de la CIIU e incluye a las industrias manufactureras (divisiones 15 a 37 de la CIIU). Comprende el valor agregado en explotación de minas y canteras, industrias manufactureras (que también se informa como un subgrupo distinto), construcción, y suministro de electricidad, gas y agua. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en dólares de los Estados Unidos a precios corrientes." 1970 2017
"Industria, valor agregado (US$ a precios constantes de 2010)" "El término “industria” corresponde a las divisiones 10 a 45 de la CIIU e incluye a las industrias manufactureras (divisiones 15 a 37 de la CIIU). Comprende el valor agregado en explotación de minas y canteras, industrias manufactureras (que también se informa como un subgrupo distinto), construcción, y suministro de electricidad, gas y agua. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en dólares de los Estados Unidos a precios constantes del año 2010." 1970 2017
"Industrialización, valor agregado (% del crecimiento anual)" "Tasa de crecimiento anual del valor agregado en la industria manufacturera en moneda local, a precios constantes. Los agregados están expresados en dólares de los Estados Unidos a precios constantes del año 2010. El término industrias manufactureras se refiere a las industrias pertenecientes a las divisiones 15 a 37 de la CIIU. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3." 1970 2017
"Industrialización, valor agregado (% del PIB)" "El término industrias manufactureras se refiere a las industrias pertenecientes a las divisiones 15 a 37 de la CIIU. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Nota: Para los países que contabilizan en base valor agregado, se utiliza como denominador el valor agregado bruto al costo de los factores." 1970 2017
"Industrialización, valor agregado (UMN a precios actuales)" "El término industrias manufactureras se refiere a las industrias pertenecientes a las divisiones 15 a 37 de la CIIU. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Industrialización, valor agregado (UMN a precios constantes)" "El término industrias manufactureras se refiere a las industrias pertenecientes a las divisiones 15 a 37 de la CIIU. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos están expresados en moneda local, a precios constantes." 1970 2017
"Industrialización, valor agregado (US$ a precios actuales)" "El término industrias manufactureras se refiere a las industrias pertenecientes a las divisiones 15 a 37 de la CIIU. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en dólares de los Estados Unidos a precios corrientes." 1970 2017
"Industrialización, valor agregado (US$ a precios constantes de 2010)" "El término industrias manufactureras se refiere a las industrias pertenecientes a las divisiones 15 a 37 de la CIIU. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos están expresados en dólares de los Estados Unidos a precios constantes del año 2010." 1970 2017
"Inflación, deflactor del PIB: series vinculadas (% anual)" "Inflation as measured by the annual growth rate of the GDP implicit deflator shows the rate of price change in the economy as a whole. This series has been linked to produce a consistent time series to counteract breaks in series over time due to changes in base years, source data and methodologies. Thus, it may not be comparable with other national accounts series in the database for historical years." 1990 2017
"Inflación, índice de deflación del PIB (% anual)" "La inflación, medida según la tasa de crecimiento anual del deflactor implícito del PIB, muestra la tasa de variación de precios en la economía en general. El deflactor implícito del PIB es el cociente entre el PIB en moneda local a precios corrientes y el PIB en moneda local a precios constantes." 1970 2017
"Inflación, precios al consumidor (% anual)" "La inflación medida por el índice de precios al consumidor refleja la variación porcentual anual en el costo para el consumidor medio de adquirir una canasta de bienes y servicios que puede ser fija o variable a intervalos determinados, por ejemplo anualmente. Por lo general se utiliza la fórmula de Laspeyres." 1970 2017
"Ingreso interno bruto (UMN a precios constantes)" "El ingreso interno bruto se obtiene de la suma del PIB y el ajuste de los términos de intercambio. Los datos están expresados en moneda local a precios constantes." 1970 2017
"Ingreso nacional bruto (ING) (US$)" "El INB (anteriormente, PNB) es la suma del valor agregado por todos los productores residentes más todos los impuestos a los productos (menos los subsidios) no incluidos en la valuación del producto más las entradas netas de ingreso primario (remuneración de empleados e ingreso por propiedad) del exterior. Datos en US$ a precios actuales." 1976 2017
"Ingreso nacional neto ajustado (% de crecimiento anual)" "El ingreso nacional neto reajustado es el INB menos el consumo de capital fijo y el agotamiento de los recursos naturales." 1971 2016
"Ingreso nacional neto ajustado (US$ a precios actuales)" "El ingreso nacional neto reajustado es el INB menos el consumo de capital fijo y el agotamiento de los recursos naturales." 1970 2016
"Ingreso nacional neto ajustado (US$ constantes del año 2010)" "El ingreso nacional neto reajustado es el INB menos el consumo de capital fijo y el agotamiento de los recursos naturales." 1970 2016
"Ingreso nacional neto ajustado per cápita (% de crecimiento anual)" "El ingreso nacional neto reajustado es el INB menos el consumo de capital fijo y el agotamiento de los recursos naturales." 1971 2016
"Ingreso nacional neto ajustado per cápita (US$ a precios actuals)" "El ingreso nacional neto reajustado es el INB menos el consumo de capital fijo y el agotamiento de los recursos naturales." 1970 2016
"Ingreso nacional neto ajustado per cápita (US$ constantes del año 2010)" "El ingreso nacional neto reajustado es el INB menos el consumo de capital fijo y el agotamiento de los recursos naturales." 1970 2016
"Ingreso neto del extranjero (UMN a precios actuales)" "El ingreso neto incluye la renta neta del trabajo, y los ingresos empresariales y de la propiedad netos del SCN. La renta del trabajo comprende la compensación de empleados pagada a trabajadores no residentes. Los ingresos empresariales y de la propiedad comprenden los ingresos por inversiones generados por la titularidad de derechos financieros en el extranjero (intereses, dividendos, rentas, etc.) e ingresos por propiedad no financieros (patentes, derechos de autor, etc.). Los datos se expresan en moneda local a precios corrientes." 1976 2017
"Ingreso neto del extranjero (US$ a precios actuales)" "El ingreso neto incluye la renta neta del trabajo, y los ingresos empresariales y de la propiedad netos del SCN. La renta del trabajo comprende la compensación de empleados pagada a trabajadores no residentes. Los ingresos empresariales y de la propiedad comprenden los ingresos por inversiones generados por la titularidad de derechos financieros en el extranjero (intereses, dividendos, rentas, etc.) e ingresos por propiedad no financieros (patentes, derechos de autor, etc.). Datos en US$ a precios actuales." 1976 2017
"Ingreso primario neto (balanza de pagos, US$ a precios actuales)" "El ingreso neto se refiere a los cobros y pagos de remuneraciones a trabajadores no residentes y a los ingresos por inversiones (recibos y pagos sobre la inversión directa, inversiones de cartera, otras inversiones y recibos por activos de reserva). Los ingresos derivados del uso de activos intangibles se registran como servicios empresariales. Datos en US$ a precios actuales." 1976 2017
"Ingreso secundario neto (balanza de pagos, US$ a precios actuales)" "Las transferencias corrientes netas se registran en la balanza de pagos siempre que una economía ofrece o recibe bienes, servicios, ingresos o recursos financieros sin contrapartida alguna. Todas las transferencias que no se consideran como capital son corrientes. Datos en US$ a precios actuales." 1976 2017
"Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)" "La inmunización de niños mide el porcentaje de niños de entre 12 y 23 meses de edad que recibieron vacunas antes de los 12 meses o en cualquier momento antes de la encuesta. Se considera que un niño está inmunizado de manera adecuada contra la difteria, la pertussis (tos ferina) y el tétanos (DPT) tras recibir tres dosis de la vacuna." 1990 2017
"Inmunización contra el sarampión (% de niños entre 12 y 23 meses de edad)" "La inmunización de niños mide el porcentaje de niños de entre 12 y 23 meses de edad que recibieron vacunas antes de los 12 meses o en cualquier momento antes de la encuesta. Se considera que un niño está inmunizado de manera adecuada contra el sarampión tras recibir una dosis de la vacuna." 1980 2017
"Inmunización, HepB3 (% de niños de un año)" "WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)." 2000 2017
"Inscripción escolar, nivel preprimario (% bruto)" "Tasa bruta de matrícula, educación preescolar, total. Corresponde al número total de estudiantes matriculados en educación preescolar, independientemente de su edad, expresado como porcentaje de la población total en edad oficial de cursar enseñanza preescolar. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1970 2017
"Inscripción escolar, nivel preprimario, mujeres (% bruto)" "Tasa bruta de matrícula (TBM), educación preescolar, mujeres. Corresponde al número total de niñas matriculadas en educación preescolar, independientemente de su edad, expresado como porcentaje de la población total de niñas en edad oficial de cursar educación preescolar. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1971 2017
"Inscripción escolar, nivel preprimario, varones (% bruto)" "Tasa bruta de matrícula, educación preescolar, varones. Corresponde al número total de niños matriculados en educación preescolar, independientemente de su edad, expresado como porcentaje de la población total de niños en edad oficial de cursar enseñanza preescolar. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1971 2017
"Inscripción escolar, nivel primario (% bruto)" "Tasa bruta de matrícula, educación primaria, total. Corresponde al número total de estudiantes matriculados en educación primaria, independientemente de su edad, expresado como porcentaje de la población total en edad oficial de cursar enseñanza primaria. La TBM puede ser superior al 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1970 2017
"Inscripción escolar, nivel primario (% neto)" "Tasa neta de matrícula, educación primaria, total. Corresponde a la proporción entre el número de estudiantes en edad de cursar educación primaria, matriculados en dicho nivel de educación, y la población total en edad de cursar educación primaria." 1998 2017
"Inscripción escolar, nivel primario, mujeres (% bruto)" "Tasa bruta de matrícula, educación primaria, mujeres. Corresponde al número total de niñas matriculadas en educación primaria, independientemente de su edad, expresado como porcentaje de la población total de niñas en edad oficial de cursar enseñanza primaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1970 2017
"Inscripción escolar, nivel primario, mujeres (% neto)" "Tasa neta de matrícula, educación primaria, mujeres. Corresponde a la proporción entre el número de niñas en edad oficial de cursar educación primaria, matriculadas en dicho nivel de educación, y la población total de niñas en edad de cursar educación primaria." 1998 2017
"Inscripción escolar, nivel primario, sector privado (% del total del nivel primario)" "Porcentaje de matrícula en instituciones privadas, educación primaria. Corresponde a la matrícula en instituciones privadas de educación primaria, expresada como porcentaje de la matrícula total (en instituciones públicas y privadas) en dicho nivel de enseñanza. “Institución privada” se refiere a todas las instituciones educacionales no operadas por la autoridad pública, independientemente de si reciben apoyo financiero de ella. Un porcentaje alto indica una gran participación de sectores distintos al gubernamental (entidades religiosas y otras organizaciones, asociaciones, comunidades, empresas privadas o personas) en la impartición organizada de programas educacionales." 2000 2017
"Inscripción escolar, nivel primario, varones (% bruto)" "Tasa bruta de matrícula, educación primaria, varones. Corresponde al número total de niños matriculados en educación primaria, independientemente de su edad, expresado como porcentaje de la población total de niños en edad oficial de cursar enseñanza primaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1970 2017
"Inscripción escolar, nivel primario, varones (% neto)" "Tasa neta de matrícula, educación primaria, varones. Corresponde a la proporción entre el número de niños en edad en edad de cursar educación primaria, matriculados en dicho nivel de educación, y la población total de niños en edad de cursar educación primaria." 1998 2017
"Inscripción escolar, nivel secundario (% bruto)" "Tasa bruta de matrícula, enseñanza secundaria, todos los programas, total. Corresponde al número total de estudiantes matriculados en educación secundaria, independientemente de su edad, expresado como porcentaje de la población total en edad oficial de cursar la secundaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1970 2017
"Inscripción escolar, nivel secundario (% neto)" "Tasa neta de matrícula, enseñanza secundaria, todos los programas, total. Corresponde a la proporción entre el número de estudiantes en edad de cursar educación secundaria, matriculados en dicho nivel de educación, y la población total en edad de cursar educación secundaria." 2000 2017
"Inscripción escolar, nivel secundario, mujeres (% bruto)" "Tasa bruta de matrícula, educación secundaria, todos los programas, mujeres. Corresponde al número total de niñas matriculadas en educación secundaria, independientemente de su edad, expresado como porcentaje de la población total en edad oficial de cursar enseñanza secundaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1971 2017
"Inscripción escolar, nivel secundario, mujeres (% neto)" "Tasa neta de matrícula, enseñanza secundaria, todos los programas, mujeres. Corresponde a la proporción entre el número de niñas en edad de cursar educación secundaria, matriculadas en dicho nivel de educación, y la población total de niñas en edad de cursar educación secundaria." 2000 2017
"Inscripción escolar, nivel secundario, sector privado (% del total del nivel secundario)" "Porcentaje de matrícula en instituciones privadas, educación secundaria. Corresponde a la matrícula en instituciones privadas de educación secundaria, expresada como porcentaje de la matrícula total (en instituciones públicas y privadas) en dicho nivel de enseñanza. “Institución privada” se refiere a todas las instituciones educacionales no operadas por la autoridad pública, independientemente de si reciben apoyo financiero de ella. Un porcentaje alto indica gran participación de sectores distintos al gubernamental (entidades religiosas y otras organizaciones, asociaciones, comunidades, empresas privadas o personas) en la prestación organizada de programas educacionales." 2000 2017
"Inscripción escolar, nivel secundario, varones (% bruto)" "Tasa bruta de matrícula, educación secundaria, todos los programas, varones. Corresponde al  número total de niños matriculados en educación secundaria, independientemente de su edad, expresado como porcentaje de la población total de niños en edad oficial de cursar enseñanza secundaria. La TBM puede ser superior a 100% debido a la inclusión de estudiantes mayores y menores a la edad oficial ya sea por repetir grados o por un ingreso precoz o tardío a dicho nivel de enseñanza." 1971 2017
"Inscripción escolar, nivel secundario, varones (% neto)" "Tasa neta de matrícula, enseñanza secundaria, todos los programas, varones. Corresponde a la proporción entre el número de niños en edad de cursar educación secundaria, matriculados en dicho nivel de educación, y la población total de niños en edad de cursar educación secundaria." 2000 2017
"Intereses condonados (US$ a precios actuales)" "La condonación de intereses es el monto de intereses adeudado o atrasado que se cancela o condona en un año determinado. Datos en US$ a precios actuales." 1970 2017
"Intereses reprogramados (capitalizados) (US$ a precios actuales)" "La reprogramación de intereses corresponde al monto de intereses adeudado o atrasado que se reprograma en un año determinado. (Interés capitalizado es el interés que pasó a ser parte del saldo de la deuda debido a una operación de reprogramación). Datos en US$ a precios actuales." 1970 2017
"Intereses reprogramados, oficiales (US$ a precios actuales)" "La reprogramación de intereses corresponde al monto de intereses adeudado o atrasado que se reprograma en un año determinado. La deuda de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organismos internacionales comprenden los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. Datos en US$ a precios actuales." 1970 2017
"Intereses reprogramados, privados (US$ a precios actuales)" "La reprogramación de intereses corresponde al monto de intereses adeudado o atrasado que se reprograma en un año determinado. La deuda de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. Datos en US$ a precios actuales." 1970 2017
"Inversión en energía con participación privada (US$ a precios actuales)" "La inversión en proyectos de energía con participación privada abarca los proyectos de infraestructura en energía (transmisión y distribución de electricidad y gas natural) que llegaron a un cierre financiero y que prestan servicio al público directa o indirectamente. Se excluyen los activos muebles y los proyectos pequeños, como los molinos de viento. Los tipos de proyectos que se incluyen son los contratos de operación y gestión, los contratos de operación y gestión con grandes gastos de capital, los proyectos totalmente nuevos (en los que una entidad privada o una empresa conjunta público-privada construye y opera nuevas instalaciones) y las desinversiones. Los compromisos de inversión son la suma de las inversiones en instalaciones y en activos del Gobierno. Las inversiones en instalaciones son los recursos que la empresa del proyecto se compromete a invertir durante el período del contrato ya sea en nuevas instalaciones o en la expansión y modernización de las instalaciones preexistentes. Las inversiones en activos del Gobierno son los recursos que gasta la empresa del proyecto para adquirir activos del Gobierno como empresas estatales, derechos para brindar servicios en un área determinada o el uso de espectros específicos de radio. Datos en US$ a precios actuales." 1995 2008
"Inversión en transporte con participación privada (US$ a precios actuales)" "La inversión en proyectos de transporte con participación privada abarca los proyectos de infraestructura de transporte que hayan llegado a un cierre financiero y preseten servicios al público directa o indirectamente. Se excluyen los activos muebles. Los tipos de proyectos que se incluyen son los contratos de operación y gestión, los contratos de operación y gestión con grandes gastos de capital, los proyectos totalmente nuevos (en los que una entidad privada o una empresa conjunta público-privada construye y opera nuevas instalaciones) y las desinversiones. Los compromisos de inversión son la suma de las inversiones en instalaciones y en activos del Gobierno. Las inversiones en instalaciones son los recursos que la empresa del proyecto se compromete a invertir durante el período del contrato ya sea en nuevas instalaciones o en la expansión y modernización de las instalaciones preexistentes. Las inversiones en activos del Gobierno son los recursos que gasta la empresa del proyecto para adquirir activos del Gobierno como empresas estatales, derechos para brindar servicios en un área determinada o el uso de espectros específicos de radio. Datos en US$ a precios actuales." 1996 2000
"Inversión extranjera directa, entrada neta de capital (% del PIB)" "La inversión extranjera directa constituye la entrada neta de de inversiones para obtener un control de gestión duradero (por lo general, un 10% o más  de las acciones que confieren derecho de voto) de una empresa que funciona en un país que no es el del inversionista.  Es la suma del capital accionario, la reinversión de las ganancias, otras formas de capital a largo plazo y capital a corto plazo, tal como se describe en la balanza de pagos. Esta serie refleja el neto total, es decir, la IED neta en la economía informante proveniente de fuentes extranjeras menos la IED neta de la economía informante hacia el resto del mundo. Esta serie refleja las entradas netas en la economía informante y se divide por el PIB." 1970 2017
